Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2007","2007","kcal/capita/day","1839","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2008","2008","kcal/capita/day","1831","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2009","2009","kcal/capita/day","1871","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2010","2010","kcal/capita/day","1888","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2011","2011","kcal/capita/day","1891","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2012","2012","kcal/capita/day","1883","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2013","2013","kcal/capita/day","1873","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2007","2007","g/capita/day","44.55","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2008","2008","g/capita/day","45.15","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2009","2009","g/capita/day","46.12","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2010","2010","g/capita/day","46.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2011","2011","g/capita/day","46.73","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2012","2012","g/capita/day","46.65","Fc","Calculated data"
