Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2013","2013","g/capita/day","46.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2007","2007","kcal/capita/day","207","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2008","2008","kcal/capita/day","211","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2009","2009","kcal/capita/day","211","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2010","2010","kcal/capita/day","216","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2011","2011","kcal/capita/day","215","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2012","2012","kcal/capita/day","217","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2013","2013","kcal/capita/day","216","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2007","2007","g/capita/day","11.46","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2008","2008","g/capita/day","11.8","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2009","2009","g/capita/day","11.68","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2010","2010","g/capita/day","12.11","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2011","2011","g/capita/day","12.18","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2012","2012","g/capita/day","12.26","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2013","2013","g/capita/day","12.22","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2007","2007","kcal/capita/day","1998","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2008","2008","kcal/capita/day","2040","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2009","2009","kcal/capita/day","2061","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2010","2010","kcal/capita/day","2127","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2011","2011","kcal/capita/day","2171","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2012","2012","kcal/capita/day","2198","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2013","2013","kcal/capita/day","2206","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2007","2007","g/capita/day","47.1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2008","2008","g/capita/day","48.66","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2009","2009","g/capita/day","47.88","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2010","2010","g/capita/day","50.39","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2011","2011","g/capita/day","51.68","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2012","2012","g/capita/day","52.11","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2013","2013","g/capita/day","52","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2007","2007","kcal/capita/day","862","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2008","2008","kcal/capita/day","906","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2009","2009","kcal/capita/day","933","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2010","2010","kcal/capita/day","949","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2011","2011","kcal/capita/day","961","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2012","2012","kcal/capita/day","986","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2013","2013","kcal/capita/day","987","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2007","2007","g/capita/day","50.18","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2008","2008","g/capita/day","53.29","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2009","2009","g/capita/day","54.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2010","2010","g/capita/day","56.31","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2011","2011","g/capita/day","56.91","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2012","2012","g/capita/day","59.21","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2013","2013","g/capita/day","59.42","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2007","2007","kcal/capita/day","2711","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2008","2008","kcal/capita/day","2724","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2009","2009","kcal/capita/day","2766","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2010","2010","kcal/capita/day","2794","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2011","2011","kcal/capita/day","2831","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2012","2012","kcal/capita/day","2889","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2013","2013","kcal/capita/day","2917","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2007","2007","g/capita/day","61.3","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2008","2008","g/capita/day","62.12","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2009","2009","g/capita/day","63.75","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2010","2010","g/capita/day","63.4","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2011","2011","g/capita/day","65.07","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2012","2012","g/capita/day","65.02","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2013","2013","g/capita/day","66.97","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2007","2007","kcal/capita/day","329","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2008","2008","kcal/capita/day","324","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2009","2009","kcal/capita/day","344","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2010","2010","kcal/capita/day","348","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2011","2011","kcal/capita/day","387","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2012","2012","kcal/capita/day","383","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2013","2013","kcal/capita/day","379","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2007","2007","g/capita/day","21.91","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2008","2008","g/capita/day","21.32","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2009","2009","g/capita/day","22.78","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2010","2010","g/capita/day","22.54","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2011","2011","g/capita/day","25.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2012","2012","g/capita/day","25.16","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2013","2013","g/capita/day","24.99","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2007","2007","kcal/capita/day","1979","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2008","2008","kcal/capita/day","2033","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2009","2009","kcal/capita/day","2101","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2010","2010","kcal/capita/day","2131","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2011","2011","kcal/capita/day","2165","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2012","2012","kcal/capita/day","2129","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2013","2013","kcal/capita/day","2219","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2007","2007","g/capita/day","32.87","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2008","2008","g/capita/day","35.3","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2009","2009","g/capita/day","36.7","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2010","2010","g/capita/day","37.62","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2011","2011","g/capita/day","38.72","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2012","2012","g/capita/day","37.17","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2013","2013","g/capita/day","38.86","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2007","2007","kcal/capita/day","195","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2008","2008","kcal/capita/day","211","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2009","2009","kcal/capita/day","202","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2010","2010","kcal/capita/day","214","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2011","2011","kcal/capita/day","243","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2012","2012","kcal/capita/day","255","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2013","2013","kcal/capita/day","254","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2007","2007","g/capita/day","15.03","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2008","2008","g/capita/day","16.02","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2009","2009","g/capita/day","14.79","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2010","2010","g/capita/day","15.93","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2011","2011","g/capita/day","17.32","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2012","2012","g/capita/day","18.43","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2013","2013","g/capita/day","18.4","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2007","2007","kcal/capita/day","1604","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2008","2008","kcal/capita/day","1587","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2009","2009","kcal/capita/day","1538","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2010","2010","kcal/capita/day","1554","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2011","2011","kcal/capita/day","1578","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2012","2012","kcal/capita/day","1557","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2013","2013","kcal/capita/day","1637","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2007","2007","g/capita/day","24.49","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2008","2008","g/capita/day","25.24","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2009","2009","g/capita/day","24.59","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2010","2010","g/capita/day","24.56","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2011","2011","g/capita/day","27.52","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2012","2012","g/capita/day","23.95","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2013","2013","g/capita/day","26.88","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2007","2007","kcal/capita/day","806","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2008","2008","kcal/capita/day","793","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2009","2009","kcal/capita/day","784","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2010","2010","kcal/capita/day","762","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2011","2011","kcal/capita/day","791","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2012","2012","kcal/capita/day","736","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2013","2013","kcal/capita/day","780","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2007","2007","g/capita/day","59.2","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2008","2008","g/capita/day","60.05","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2009","2009","g/capita/day","58.84","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2010","2010","g/capita/day","56.96","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2011","2011","g/capita/day","57.28","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2012","2012","g/capita/day","55.1","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2013","2013","g/capita/day","56.83","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2007","2007","kcal/capita/day","2202","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2008","2008","kcal/capita/day","2218","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2009","2009","kcal/capita/day","2197","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2010","2010","kcal/capita/day","2219","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2011","2011","kcal/capita/day","2210","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2012","2012","kcal/capita/day","2230","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2013","2013","kcal/capita/day","2240","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2007","2007","g/capita/day","35.44","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2008","2008","g/capita/day","35.47","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2009","2009","g/capita/day","35.04","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2010","2010","g/capita/day","35.37","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2011","2011","g/capita/day","35.26","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2012","2012","g/capita/day","35.61","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2013","2013","g/capita/day","35.69","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2007","2007","kcal/capita/day","943","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2008","2008","kcal/capita/day","939","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2009","2009","kcal/capita/day","935","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2010","2010","kcal/capita/day","936","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2011","2011","kcal/capita/day","951","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2012","2012","kcal/capita/day","967","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2013","2013","kcal/capita/day","989","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2007","2007","g/capita/day","63.39","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2008","2008","g/capita/day","63.88","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2009","2009","g/capita/day","63.33","Fc","Calculated data"
